stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,stop_timezone,wheelchair_boarding,stp_has_shelter
10878,10878,"Columbia Tpke & Sherwood Ave",,42.61950,-73.73460,0,https://www.cdta.org/schedules-stop-detail?stop_id=10878,0,America/New_York,1,0
10888,10888,"590 Columbia Tpke",,42.59964,-73.71095,0,https://www.cdta.org/schedules-stop-detail?stop_id=10888,0,America/New_York,1,0
10889,10889,"Columbia Tpke & Greenwood Dr",,42.588879,-73.699757,0,https://www.cdta.org/schedules-stop-detail?stop_id=10889,0,America/New_York,1,0
10890,10890,"1969 Schodack Rd",,42.555815,-73.66147,0,https://www.cdta.org/schedules-stop-detail?stop_id=10890,0,America/New_York,1,0
10892,10892,"Rt 7 & Amelia Ct",,42.54957,-73.61651,0,https://www.cdta.org/schedules-stop-detail?stop_id=10892,0,America/New_York,1,0
10918,10918,"26 Elm St",,42.51837,-73.60900,0,https://www.cdta.org/schedules-stop-detail?stop_id=10918,0,America/New_York,1,0
10919,10919,"Schodack Rd & Matthew Ln",,42.55671,-73.65922,0,https://www.cdta.org/schedules-stop-detail?stop_id=10919,0,America/New_York,1,0
10920,10920,"1932 Schodack Rd",,42.55561,-73.66302,0,https://www.cdta.org/schedules-stop-detail?stop_id=10920,0,America/New_York,1,0
10921,10921,"1741 Columbia Tpke",,42.554571,-73.676295,0,https://www.cdta.org/schedules-stop-detail?stop_id=10921,0,America/New_York,1,0
10922,10922,"Columbia Tpke & Old Miller Rd",,42.58038,-73.69157,0,https://www.cdta.org/schedules-stop-detail?stop_id=10922,0,America/New_York,1,0
10923,10923,"739 Columbia Tpke",,42.58523,-73.69548,0,https://www.cdta.org/schedules-stop-detail?stop_id=10923,0,America/New_York,1,0
10924,10924,"Columbia Tpke & Elmwood Ave",,42.591491,-73.702335,0,https://www.cdta.org/schedules-stop-detail?stop_id=10924,0,America/New_York,1,0
10926,10926,"327 Columbia Tpke (CSC)",,42.61071,-73.72626,0,https://www.cdta.org/schedules-stop-detail?stop_id=10926,0,America/New_York,1,0
10927,10927,"Saint Mary's Church & School",,42.620263,-73.735206,0,https://www.cdta.org/schedules-stop-detail?stop_id=10927,0,America/New_York,1,0
10928,10928,"Columbia Tpke & Lake View Ave",,42.62221,-73.73727,0,https://www.cdta.org/schedules-stop-detail?stop_id=10928,0,America/New_York,1,0
10929,10929,"111 Columbia Tpke",,42.62332,-73.73856,0,https://www.cdta.org/schedules-stop-detail?stop_id=10929,0,America/New_York,1,0
10931,10931,"63 Columbia Tpke",,42.63526,-73.74659,0,https://www.cdta.org/schedules-stop-detail?stop_id=10931,0,America/New_York,1,0
10932,10932,"Columbia Tpke & Washington St",,42.63638,-73.74730,0,https://www.cdta.org/schedules-stop-detail?stop_id=10932,0,America/New_York,1,0
10933,10933,"Columbia Tpke & Broadway",,42.63744,-73.74793,0,https://www.cdta.org/schedules-stop-detail?stop_id=10933,0,America/New_York,1,0
10960,10960,"15th St & New Hampshire Ave",,42.74043,-73.67455,0,https://www.cdta.org/schedules-stop-detail?stop_id=10960,0,America/New_York,1,0
10963,10963,"15th St & Sausse Ave",,42.741217,-73.674320,0,https://www.cdta.org/schedules-stop-detail?stop_id=10963,0,America/New_York,1,0
10964,10964,"15th St & New Hampshire Ave",,42.740105778,-73.67453324,0,https://www.cdta.org/schedules-stop-detail?stop_id=10964,0,America/New_York,1,0
10965,10965,"2nd Ave & 24th St",,42.733935,-73.700908,0,https://www.cdta.org/schedules-stop-detail?stop_id=10965,0,America/New_York,1,0
10967,10967,"Hoosick St & Otsego Ave",,42.741333,-73.654292,0,https://www.cdta.org/schedules-stop-detail?stop_id=10967,0,America/New_York,1,0
10968,10968,"15th St & Peoples Ave",,42.73295,-73.67658,0,https://www.cdta.org/schedules-stop-detail?stop_id=10968,0,America/New_York,1,0
10970,10970,"Burdett Ave & Samaritan Hospital",,42.73352,-73.67146,0,https://www.cdta.org/schedules-stop-detail?stop_id=10970,0,America/New_York,1,1
10971,10971,"Peoples Ave & 15th St",,42.73307,-73.67632,0,https://www.cdta.org/schedules-stop-detail?stop_id=10971,0,America/New_York,1,1
10975,10975,"Project St & Delaware Ave",,42.71108,-73.67902,0,https://www.cdta.org/schedules-stop-detail?stop_id=10975,0,America/New_York,1,0
10978,10978,"Vanderheyden Hall",,42.690563,-73.614608,0,https://www.cdta.org/schedules-stop-detail?stop_id=10978,0,America/New_York,1,0
10979,10979,"Main Ave & Sharpe Rd",,42.692335,-73.62815,0,https://www.cdta.org/schedules-stop-detail?stop_id=10979,0,America/New_York,1,0
10980,10980,"Main Ave & Van Woert Ct",,42.69726,-73.64627,0,https://www.cdta.org/schedules-stop-detail?stop_id=10980,0,America/New_York,1,0
10981,10981,"5th Ave & 111th St",,42.768837,-73.67594,0,https://www.cdta.org/schedules-stop-detail?stop_id=10981,0,America/New_York,1,0
10982,10982,"48 New Turnpike Rd",,42.78938,-73.66643,0,https://www.cdta.org/schedules-stop-detail?stop_id=10982,0,America/New_York,1,0
10983,10983,"8th Ave & Northern Dr",,42.78687,-73.66390,0,https://www.cdta.org/schedules-stop-detail?stop_id=10983,0,America/New_York,1,1
10984,10984,"Congress St & 15th St",,42.72275,-73.67997,0,https://www.cdta.org/schedules-stop-detail?stop_id=10984,0,America/New_York,1,0
